THEFT,241793,1
BATTERY,193701,2
CRIMINAL,DAMAGE,112895,3
DECEPTIVE,PRACTICE,76204,4
ASSAULT,74983,5
OTHER,OFFENSE,65279,6
NARCOTICS,62563,7
BURGLARY,48524,8
MOTOR,VEHICLE,THEFT,41790,9
ROBBERY,40206,10
CRIMINAL,TRESPASS,24466,11
WEAPONS,VIOLATION,18571,12
OFFENSE,INVOLVING,CHILDREN,11165,13
PUBLIC,PEACE,VIOLATION,6818,14
CRIM,SEXUAL,ASSAULT,6253,15
SEX,OFFENSE,5389,16
INTERFERENCE,WITH,PUBLIC,OFFICER,4351,17
PROSTITUTION,3714,18
ARSON,1962,19
HOMICIDE,1625,20
CRIMINAL,SEXUAL,ASSAULT,1504,21
LIQUOR,LAW,VIOLATION,1004,22
GAMBLING,924,23
STALKING,763,24
KIDNAPPING,738,25
INTIMIDATION,565,26
CONCEALED,CARRY,LICENSE,VIOLATION,347,27
OBSCENITY,244,28
NON-CRIMINAL,93,29
HUMAN,TRAFFICKING,46,30
PUBLIC,INDECENCY,42,31
OTHER,NARCOTIC,VIOLATION,26,32
NON,-,CRIMINAL,23,33
NON-CRIMINAL,(SUBJECT,SPECIFIED),3,34
RITUALISM,1,35
PrimaryType,1,36
